Field,Default,Default [es]
KevinHay,Stepping on the hay is a great way to wake Kevin.,Pisar el heno es la mejor forma de despertar a Kevin.
NoRecruits,The teacher really wants those signatures.,La maestra realmente quiere esas firmas.
WrongFlowers,Those flowers are a little dangerous.,Esas flores son un poco peligrosas.
HaveGun,I would use the gun on something...or someone before the robot gets there.,Yo usaría la pistola en algo... o en alguien antes de que llegue el robot.
BeepBoopAustin,If only there was someone who could throw something at the robot...if only.,Si tan solo hubiera alguien que pudiera lanzarle algo al robot... si tan solo.
BeepBoopDavey,If only there was something sharp and heavy you could smash the robot into pieces with...,Si tan solo tuvieras algo filoso y pesado para hacer trizas al robot...
CannonBackInside,He's not just gonna let you go back inside.,No te va a dejar volver a entrar así como así.
CannonHelpNugget,He's not just gonna let you help Nugget.,No te va a dejar ayudar a Nugget tan fácilmente.
CannonWaitAround,You kinda deserve a cannon to the face if you're just gonna wait around like that.,"Si te quedas ahí parado, te mereces un cañonazo en la cara."
BoobooShouldKnow,I feel like you should know what happens when you get too close to Booboo by now.,"A estas alturas, deberías saber qué pasa si te acercas demasiado a Booboo."
BoobooSniff,He can really sniff you out anywhere.,Booboo puede olfatearte en cualquier rincón.
BoobooSaveNugget,You should find a way to subdue Booboo before Nugget's arm gives out.,Deberías encontrar cómo calmar a Booboo antes de que el brazo de Nugget se rinda.
BeepboopFinalBooboo,Booboo does not have a good way to stop Beepboop.,Booboo no tiene ni idea de cómo detener a Beepboop.
BeepboopFinalBunny,Bunny does not have a good way to stop Beepboop.,Bunny tampoco sabe cómo parar a Beepboop.
BeepboopFinalGuppy,Guppy isn't as effective as a rock when it comes to stopping Beepboop.,Guppy es menos útil que una piedra contra Beepboop.
RegisBunny,Regis knows how to deal with Bunny.,Regis sabe cómo lidiar con Bunny.
RegisGuppy,Guppy isn't enough to stop Regis from shooting you in the face.,Guppy no basta para evitar que Regis te dispare en la cara.
GuppyMissile,Guppy is NOT able to stop the missile.,Guppy NO puede detener el misil.
DaveyDeath,You can't save Kevin without Davey.,No puedes salvar a Kevin sin Davey.
DaveyDied,Davey died.,Davey murió.
YouDied,You died.,Moriste.
LindaDied,Linda died.,Linda murió.
NoGuppy,That would have been a good time to send Guppy.,Hubiera sido un buen momento para mandar a Guppy.
HideLaser,You should probably hide from that laser.,Quizá deberías esconderte de ese láser.
DontShootLindaLab3,Maybe don't shoot the giant lizard that's trying to help you?,¿Tal vez no dispares al lagarto gigante que intenta ayudarte?
DontDoubleShootLab3,Maybe aim for a different target next time?,"La próxima vez, intenta apuntar a otro objetivo."
WrongSpot,That was the wrong hiding spot.,Ese no era el escondite correcto.
AntiGoo1EarlyLab3,Regis wasn't close enough to the anti-goo tank.,Regis no estaba lo suficientemente cerca del tanque anti-goo.
OrbShotLab3,It might be wise to deal with the orb a little later.,Quizá sea mejor encargarse del orbe un poco después.
GetBandagesDeath,He really really wants those bandages.,"De verdad, de VERDAD, quiere esas vendas."
GoInsideDeath,You should probably go inside to get those bandages.,Quizás deberías entrar a buscar esas vendas.
NoArmDeath,No arm. No life.,"Sin brazo, sin vida."
NoCarrotDeath,Carrots are great bunny bait.,Las zanahorias atraen conejos... y problemas.
NoBoopDeath,You should boop and run.,Mejor boopea y corre.
NoBaitDeath,I would put the bait on the X next time.,La próxima vez pon la carnada en la X.
ShowUpDeath,You knew he was gonna kill something today.,Sabías que hoy iba a matar algo.
Kicked,His legs are REALLY strong now.,Ahora sí que tiene piernas de acero.
GooCore,Find a place to put that goo thing or it'll explode.,Pon ese goo en algún lado o va a explotar.
EarlyLab,You should probably wait until Regis isn't there to go down the slide.,Mejor espera a que Regis se vaya antes de tirarte por el tobogán.
InvalidCode,That was not a valid code.,Ese no era el código correcto.
BoobooHallway,Something bad happened.,Pasó algo malo.
BeepBoopEmmy,Maybe someone could cause some electrical problems for the robot?,¿Y si alguien le causa un cortocircuito al robot?
VendingMachineDuck,That was not a valid quacking code.,Ese no era el código cuac.
BoobooTree,I think Booboo is a little territorial about that tree right now.,Booboo no quiere compartir ese árbol hoy.
BoobooFort,I would stay away from Booboo while he's trying to get on the fort.,No te acerques a Booboo cuando quiere subir al fuerte.
BoobooRock,"Even if he's distracted, you should still stay away from Booboo.","Aunque esté distraído, mejor aléjate de Booboo."
BoobooTreeHide,You can't hide from him in the tree either.,Tampoco puedes esconderte de él en el árbol.
AlcoveRabbit,You should fear the bunny.,Deberías temerle al conejito.
ReturnPass,You should return the hall pass before the bell rings.,Devuelve el pase antes de que suene la campana.
DeadFelix,You should get the nurse to fix Felix's face.,Busca a la enfermera para arreglarle la cara a Felix.
Death.Anvil,That was the wrong janitor manuever.,Esa no era la maniobra correcta del conserje.
WrongCarCode,That was the wrong order for the cars.,Ese no era el orden correcto de los coches.
