Field,Default,Nombre traducido [es],Descripción traducida [es]
Mean Green Penguin,Which is unusual because green penguins are normally very amicable.,Pingüino Verde Malvado,Lo raro es que los pingüinos verdes suelen ser muy amigables.
Tree Froggy,You already know that this thing is just a frog made out of a tree.,Rana Árbolica,Ya sabes que esta cosa es solo una rana hecha de árbol.
Thikorita,It uses the leaf on its head to cut..nothing. It's a leaf.,Thikorita,Usa la hoja de su cabeza para cortar... nada. Es una hoja.
Shrewd Goblin,Capable of selling anything to anyone unless they don't want to buy it.,Duende Astuto,"Capaz de venderle cualquier cosa a cualquiera, a menos que no quieran comprar."
Literally Grass,It just sorta grows there.,Literalmente Pasto,Simplemente crece ahí.
Ohfaka Tornado,It's said that those who see it are compelled to say its name.,Tornado Ohfaka,Dicen que quienes lo ven se sienten obligados a decir su nombre.
Monstrous Flytrap,The only species of plant known to hunt down its prey.,Trampa Mosntruosa,La única especie de planta conocida por cazar a su presa.
Chill Stump,"He's such a cool guy, he gets invited to all the parties. Too bad he can't go cause he's stuck in the ground.",Tocón Relajado,Es tan buena onda que lo invitan a todas las fiestas. Lástima que no puede ir porque está pegado al suelo.
Mystical Tomato,The key ingredient in mystical ketchup.,Tomate Místico,El ingrediente clave del kétchup místico.
Meatball,Hurls himself at opponents leaving a red residue that may be blood or tomato sauce.,Albóndigon,Se lanza contra sus oponentes dejando un residuo rojo que puede ser sangre... o salsa de tomate.
Tricerabottom,That's not a third leg... it's an arm.,Triceraculo,Eso no es una tercera pierna... es un brazo.
Brain Dragon,Capable of solving cold fusion and eating you alive.,Dragón Cerebral,Capaz de resolver fusión en frío y comerte vivo.
Sword Pig,It is said that he who pulls the sword from the pig will be king of Baconland.,Cerdo Excalibur,Se dice que quien saque la espada del cerdo será el rey de Tocinolandia.
Tough Bunny,He's probably not even the worst bunny you've met today.,Conejo Rudo,Probablemente ni siquiera es el peor conejo que has visto hoy.
Wonder Bird,It is said that those who can hear its chirps are not deaf.,Ave Maravilla,Se dice que quienes oyen su canto no están sordos.
Golden Dewdrop,He was not brought about by any sort of shower.,Gota de Oro,"No nació de ninguna ducha, ni de lluvia dorada."
Forbidden Book,It contains the answers to any test you might take at the cost of your soul.,Libro Prohibido,Contiene las respuestas de cualquier examen... a cambio de tu alma.
Pot of Grease,Allows you to draw two heart attacks into your body.,Olla de Grasa,Permite que te ingresen dos infartos directos al corazón.
Mr. Nice Guy,He's a nice guy capable of wooing m'lady.,Don Buen Tipo,Es un tipo simpático capaz de enamorar a 'm'lady'.
Egg Head,Is his head just stuck in there or what?,Cabeza de Huevo,¿Su cabeza está atascada ahí o qué?
Snuggly Bear,Go on. Give him a hug... someone has to.,Osito Mimoso,"Anda, dale un abrazo... alguien tiene que hacerlo."
Froyo Ghost,That chill in the air is just this tasty spirit.,Fantasma de Froyo,Ese frío en el aire es solo este espíritu sabroso.
Dank Magician,The ultimate wizard in terms of drugs and memes.,Mago Denso,"El mago supremo en drogas y memes. (""Denso"" es slang para ""dank"" en memes y drogas en español)."
Sock Spirit,It's a spirit that haunts all unmatched socks.,Espíritu Calcetín,Es un espíritu que atormenta todos los calcetines sin pareja.
Caterpillar Dog,It transforms into... Butterfly Cat?,Perro Oruga,¿Se transforma en... Gato Mariposa?
Mysterious Package,You'd probably know what was in it if you didn't steal it off someone's porch.,Paquete Misterioso,Probablemente sabrías qué contiene si no lo hubieras robado del porche de alguien.
Killer Eye,"It sees all, knows all, but cannot tell all for it does not have a mouth.",Ojo Asesino,"Lo ve todo, lo sabe todo, pero no puede contarlo porque no tiene boca."
Mole Mole,It's a mole that lives in moles. Gross.,Topo en Topo,Es un topo que vive en topos. Qué asco.
Evil Thwarter,"He doesn't thwart evil, he's a thwarter who IS evil.",Antimalo,"No detiene el mal, es un detenedor que ES malvado. (""Thwarter"" traducido como ""detenedor"" para mantener el juego de palabras)."
